"상품명,조사일,판매가격,판매업소,제조사,세일여부,1+1"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼서초국제점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼서초3동점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼서초2동점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼서초1동점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼서창점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼서산예천점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼상봉점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,5990,롯데슈퍼상계7동점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼상계11점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼삼천포점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼삼양점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼삼성점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼삼성역점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼삼계점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼산본2동점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6500,롯데마트진장점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼분당정자점,길림양행,N,N"
